stn,wban,year,month,day,temp,temp_count,dewp,dewp_count,slp,slp_count,stp,stp_count,visib,visib_count,wdsp,wdsp_count,mxspd,GUST,maxtemp,mintemp,prcp,sndp,frshtt
1001099999,99999,2011,4,5,32.5,24,28.2,24,992.1,24,990.9,24,35.7,6,13,24,15.5,999.9,34.3,28.4,0,999.9,1000
1001099999,99999,2011,4,6,35.6,24,32.8,24,984.8,24,983.7,24,10.7,5,14.5,24,19.4,999.9,36.5,33.6,0,999.9,10000
1001099999,99999,2011,4,7,33.9,24,31.9,24,981.4,21,980.3,21,999.9,0,4.8,21,21.4,999.9,36.1,32,0.16,999.9,10000
1001099999,99999,2011,4,8,27.9,24,24.8,24,994.9,24,993.7,24,6.3,5,22.4,24,38.9,999.9,33.1,23.9,0,999.9,1000
1001099999,99999,2011,4,9,27.6,24,24.3,24,1008.1,24,6.9,24,11.4,5,12.5,24,21.4,999.9,34.9,23,0,999.9,1000
1001099999,99999,2011,4,10,34.9,24,31.7,24,996.4,22,995.2,22,999.9,0,17.2,22,38.9,999.9,40.5,32.7,0.02,999.9,0
1001099999,99999,2011,4,11,34.3,24,30.4,24,988.6,24,987.4,24,23.1,6,16.6,24,25.3,999.9,35.2,32.9,0.23,999.9,10000
1001099999,99999,2011,4,12,31.1,16,29.3,16,990.7,15,989.5,15,11.3,4,6.5,15,13.6,999.9,32.7,26.4,0,999.9,1000
1001099999,99999,2011,4,13,30.6,16,29.3,16,993.6,15,992.4,15,6.4,4,5.6,15,9.7,999.9,32.4,25.5,0,999.9,1000
1001099999,99999,2011,4,14,32.3,24,30.8,24,983.6,23,982.5,23,4.7,5,7,23,15.5,999.9,34.9,28.6,0.04,999.9,11000
1001099999,99999,2011,4,15,28.4,24,24.5,24,979.3,24,978.1,24,16,6,18.9,24,23.3,999.9,33.8,22.5,0.21,999.9,11000
1001099999,99999,2011,4,16,26.4,24,23.5,24,989.1,24,987.9,24,17.1,6,14.4,24,21.4,999.9,28.6,22.3,0.09,999.9,1000
1001099999,99999,2011,4,17,25.4,24,20.5,24,1000.5,24,999.3,24,18.6,5,10.8,24,19.4,999.9,27.1,24.1,0,999.9,1000
1001099999,99999,2011,4,18,29.7,24,25.5,24,1010.4,24,9.2,24,27,6,13.8,24,23.3,999.9,34.7,23.2,0,999.9,1000
1001099999,99999,2011,4,19,31.1,24,25.9,24,991.7,24,990.5,24,15.5,6,23.8,24,33,999.9,35.8,24.4,0.19,999.9,11000
1001099999,99999,2011,4,20,33,24,31.1,24,991.2,24,990,24,14.9,4,16.3,24,27.2,999.9,34.7,29.8,0,999.9,10000
1001099999,99999,2011,4,21,27.5,24,22.1,24,998.7,22,997.5,22,999.9,0,15,22,27.2,999.9,32.2,22.5,0,999.9,0
1001099999,99999,2011,4,22,31.9,24,29.4,24,1009.3,23,8.1,23,999.9,0,7.3,23,13.6,999.9,35.2,22.1,0.12,999.9,11000
1001099999,99999,2011,4,23,33.8,24,33.2,24,1002.7,20,1.5,20,999.9,0,7.7,20,13.6,999.9,34.5,32.5,0.44,999.9,0
1001099999,99999,2011,4,24,34.1,18,33,18,995.5,16,994.3,16,999.9,0,10.7,16,19.4,999.9,35.2,32.7,0,999.9,10000
1001099999,99999,2011,4,25,33.5,24,31.6,24,997.5,24,996.3,24,4.3,5,15,24,33,999.9,34.7,28.6,0.14,999.9,11000
1001099999,99999,2011,4,26,26.9,24,23,24,1007.1,23,5.9,23,10.4,5,19,23,42.7,999.9,32.5,23.9,0.07,999.9,1000
1001099999,99999,2011,4,27,31.3,24,28.8,24,1016.4,23,15.2,23,24.4,4,5.7,23,11.7,999.9,33.8,27.5,0.05,999.9,0
1001099999,99999,2011,4,28,33.8,24,31.3,24,1020.2,23,19,23,37.3,5,9.1,23,23.3,999.9,37.8,31.3,0.02,999.9,0
1001099999,99999,2011,4,29,33.7,24,32.8,24,1026.7,21,25.5,21,999.9,0,8.7,21,17.5,999.9,35.6,30.9,0,999.9,10000
1001099999,99999,2011,4,30,33,24,32.2,24,1025.3,21,24.1,21,999.9,0,5.5,21,9.7,999.9,36.3,29.3,0.2,999.9,10000
1001099999,99999,2011,5,1,34.8,24,33.7,24,1023.3,21,22.1,21,999.9,0,10.5,21,19.4,999.9,38.8,33.3,0.08,999.9,100000
1001099999,99999,2011,5,2,34.3,24,33.3,24,1024,24,22.9,24,9.2,5,10,24,13.6,999.9,35.2,33.3,0,999.9,10000
1001099999,99999,2011,5,3,30.3,24,26.6,24,1027.6,23,26.4,23,36.7,5,19.5,23,25.3,999.9,33.4,27.5,0.01,999.9,0
1001099999,99999,2011,5,4,31,23,20.3,23,1026.2,23,25,23,43,6,9.8,23,21.4,999.9,34.7,27.5,0,999.9,0
1001099999,99999,2011,5,5,30.5,24,24.6,24,1025.7,24,24.5,24,46.6,5,5.2,24,13.6,999.9,34.3,25.3,0,999.9,0
1001099999,99999,2011,5,6,33,24,26.7,24,1027,24,25.8,24,44.7,5,5.3,24,13.6,999.9,36,28,0,999.9,0
1001099999,99999,2011,5,7,34.1,24,26.8,24,1027.7,24,26.5,24,46.6,5,4.2,24,9.7,999.9,37.2,31.5,0,999.9,0
1001099999,99999,2011,5,8,34.8,23,24.3,23,1027.8,23,26.6,23,46.6,4,5.2,23,13.6,999.9,39.7,31.3,0,999.9,0
1001099999,99999,2011,5,9,36,24,22.8,24,1030.5,24,29.3,24,46.6,5,14.5,24,21.4,999.9,37.9,31.1,0,999.9,0
1001099999,99999,2011,5,10,38.2,24,36.4,24,1022,21,20.8,21,999.9,0,5.7,21,13.6,999.9,39,35.6,0.03,999.9,10000
1001099999,99999,2011,5,11,37.6,24,36.4,24,1016.8,20,15.6,20,999.9,0,3.1,20,7.8,999.9,39,35.6,0.32,999.9,10000
1001099999,99999,2011,5,12,38.3,23,37.3,23,1015.9,19,14.7,19,999.9,0,3.2,19,9.7,999.9,39.4,36.7,0.08,999.9,10000
1001099999,99999,2011,5,13,37.4,24,34.7,24,1015.5,23,14.3,23,22.2,4,4.6,23,11.7,999.9,39,36,0.21,999.9,10000
1001099999,99999,2011,5,14,37.3,24,35,24,1011,24,9.8,24,19.8,5,8.3,24,11.7,999.9,39.2,35.2,0,999.9,10000
1001099999,99999,2011,5,15,38.9,24,36.7,24,1006.6,24,5.4,24,7,5,7.6,24,13.6,999.9,45.7,35.8,0.06,999.9,10000
1001099999,99999,2011,5,16,37.9,24,36.3,24,1010.6,24,9.4,24,11.1,6,8.3,24,15.5,999.9,39,35.8,0.11,999.9,110000
1001099999,99999,2011,5,17,38.2,24,33.9,24,1014,24,12.8,24,37.2,5,6.1,24,11.7,999.9,41.2,35.1,0.06,999.9,10000
1001099999,99999,2011,5,18,35,24,28.6,24,1011.8,24,10.6,24,41.9,4,10.8,24,17.5,999.9,37.6,32.5,0,999.9,0
1001099999,99999,2011,5,19,29,24,22.8,24,1012.8,24,11.6,24,22.4,5,20.4,24,27.2,999.9,33.3,26.4,0,999.9,1000
1001099999,99999,2011,5,20,28.8,24,21.7,24,1012.4,24,11.2,24,13.3,6,13.1,24,17.5,999.9,31.8,25.7,0,999.9,1000
1001099999,99999,2011,5,21,30.4,24,23,24,1010.2,24,9,24,43,6,21,24,27.2,999.9,32.9,29.5,0,999.9,0
1001099999,99999,2011,5,22,31.3,24,24.4,24,1012.7,24,11.5,24,36.2,6,21.1,24,29.1,999.9,33.8,29.3,0,999.9,1000
1001099999,99999,2011,5,23,31.4,24,28,24,1007.4,24,6.2,24,28,6,27.3,24,33,999.9,33.4,28.8,0,999.9,1000
1001099999,99999,2011,5,24,32.7,24,30.6,24,1004.6,24,3.4,24,7.3,4,24.5,24,35,999.9,33.6,31.8,0,999.9,11000
1001099999,99999,2011,5,25,31.5,24,27.8,24,1016.7,24,15.5,24,15,5,16.3,24,21.4,999.9,32.9,30.4,0.18,999.9,11000
1001099999,99999,2011,5,26,31.1,24,25.3,24,1020.2,24,19,24,33.3,5,9.3,24,15.5,999.9,34,29.3,0.02,999.9,1000
1001099999,99999,2011,5,27,31.2,24,26.2,24,1011.6,23,10.4,23,13.7,5,6.5,24,11.7,999.9,34.3,28.2,0.02,999.9,1000
1001099999,99999,2011,5,28,35.2,24,28.3,24,1006.2,24,5,24,24.2,5,12.8,24,15.5,999.9,38.1,32.4,0,999.9,1000
1001099999,99999,2011,5,29,33.8,24,27.5,24,1002.8,24,1.6,24,46.6,5,19.2,24,31.1,999.9,38.7,29.3,0,999.9,0
1001099999,99999,2011,5,30,34.1,24,30.6,24,1001.9,24,0.7,24,32.9,6,23.9,24,29.1,999.9,37.6,31.6,0,999.9,1000
1001099999,99999,2011,5,31,31.8,18,27.9,18,1007,18,5.8,18,15.9,5,17.2,18,25.3,999.9,33.1,30.4,0,999.9,1000
1001099999,99999,2011,6,1,33.2,24,24.6,24,1010.8,24,9.5,24,37.9,5,7,24,11.7,999.9,35.8,30.2,0,999.9,10000
1001099999,99999,2011,6,2,37.8,24,31,24,1011.1,24,9.9,24,46.6,6,6,24,13.6,999.9,42.4,33.4,0,999.9,0
1001099999,99999,2011,6,3,35.4,24,32.6,24,1009.8,24,8.6,24,19.3,5,19.6,24,29.1,999.9,39.2,33.8,0.06,999.9,10000
1001099999,99999,2011,6,4,35.6,24,29.7,24,1008.3,24,7.1,24,29,6,18,24,25.3,999.9,41.4,31.6,0.79,999.9,0
1001099999,99999,2011,6,5,35.4,22,24,22,1008.2,22,7,22,37.8,6,12.4,22,19.4,999.9,39.9,30.7,0,999.9,0
1001099999,99999,2011,6,6,33,24,28.5,24,1012.8,24,11.6,24,14.1,6,16.8,24,23.3,999.9,36.7,30.4,0.03,999.9,11000
1001099999,99999,2011,6,7,34.6,24,29.5,24,1019.7,24,18.5,24,46.6,6,14.6,24,17.5,999.9,37.6,30.9,0.04,999.9,0
1001099999,99999,2011,6,8,34.8,24,30.5,24,1024.8,24,23.5,24,38.6,6,12.7,24,19.4,999.9,37.8,32.7,0,999.9,1000
1001099999,99999,2011,6,9,37.2,24,28.9,24,1024.3,24,23.1,24,29,6,15.5,24,31.1,999.9,43,32.4,0,999.9,0
1001099999,99999,2011,6,10,41.3,24,36.6,24,1020.9,24,19.7,24,16.2,5,13.9,24,29.1,999.9,45.3,35.6,0,999.9,10000
1001099999,99999,2011,6,11,40.6,24,38,24,1021.6,23,20.4,23,26.7,5,6.9,23,17.5,999.9,42.8,38.8,0.15,999.9,0
1001099999,99999,2011,6,12,40.9,24,38.1,24,1024,24,22.8,24,8.5,6,5,24,7.8,999.9,43.2,39.6,0,999.9,10000
1001099999,99999,2011,6,13,39,24,34.3,24,1023.6,24,22.4,24,17.4,6,9,24,15.5,999.9,41.5,36.1,0,999.9,0
1001099999,99999,2011,6,14,36,24,32.7,24,1019,24,17.8,24,31.1,4,17.7,24,25.3,999.9,39.2,33.4,0,999.9,0
1001099999,99999,2011,6,15,40.2,24,35.5,24,1015.5,24,14.3,24,39,5,8.1,24,15.5,999.9,43.7,36.1,0,999.9,0
1001099999,99999,2011,6,16,41.1,24,39.1,24,1014.4,23,13.2,23,14.1,4,7,23,15.5,999.9,41.9,40.1,0,999.9,10000
1001099999,99999,2011,6,17,40.5,24,38.1,24,1020.3,22,19.1,22,999.9,0,6.9,22,17.5,999.9,41.9,39.4,0,999.9,0
1001099999,99999,2011,6,18,36,23,32,23,1023,23,21.8,23,41.6,5,13.3,23,23.3,999.9,39.6,33.8,0,999.9,0
1001099999,99999,2011,6,19,34.6,24,30.7,24,1023.6,24,22.4,24,46.6,5,17.2,24,27.2,999.9,38.8,31.8,0,999.9,0
1001099999,99999,2011,6,20,36.4,24,28.8,24,1022.5,24,21.3,24,42.3,5,15.4,24,23.3,999.9,39.6,32.4,0,999.9,0
1001099999,99999,2011,6,21,36.2,24,32.1,24,1021.9,24,20.7,24,32.3,5,14.3,24,23.3,999.9,39.9,34,0,999.9,1000
1001099999,99999,2011,6,22,38.3,24,34.2,24,1018.3,24,17.1,24,34.7,6,20.6,24,25.3,999.9,42.4,36.1,0,999.9,0
1001099999,99999,2011,6,23,36.6,24,34.2,24,1014.1,23,12.9,23,15.5,4,21.4,23,31.1,999.9,43,34.7,0,999.9,0
1001099999,99999,2011,6,24,39.6,24,34.1,24,1015.3,24,14.1,24,27.3,5,12.1,24,21.4,999.9,46,33.8,0,999.9,10000
1001099999,99999,2011,6,25,41.2,24,35.7,24,1019.4,24,18.1,24,32.9,5,5.8,24,13.6,999.9,45.7,35.8,0,999.9,0
1001099999,99999,2011,6,26,41,24,35.5,24,1022.1,24,20.9,24,46.6,6,5.8,24,11.7,999.9,43.3,39.9,0,999.9,0
